curl_version,curl_release_date,nixpkgs_commit,nixpkgs_commit_date
7.30.0,Apr 12 2013,d44ffc533826532f1d874d7cba55a204598927c1,2013-04-23
7.29.0,Feb 6 2013,8e08e9ccf0ce85d8284d430bdb6fbd9107a7ce5d,2013-02-08
7.28.1,Nov 20 2012,,
7.28.0,Oct 10 2012,c0b393866f664e9caf8fcf5cdbebb5dd61cdb859,2012-10-26
7.27.0,Jul 27 2012,fcb1d64322d8b323ce736f9df16f6dcefd7436d5,2012-09-13
7.26.0,May 24 2012,063a627493c3e5134e356fbd6a8ad0487952fdfa,2012-06-29
7.25.0,Mar 22 2012,,
7.24.0,Jan 24 2012,,
7.23.1,Nov 17 2011,,
7.23.0,Nov 15 2011,,
7.22.0,Sep 13 2011,4d95b41bc832a33d9a5d9a8ce8b5de16f4ffb923,2011-11-05
7.21.7,Jun 23 2011,,
7.21.6,Apr 22 2011,,
7.21.5,Apr 17 2011,,
7.21.4,Feb 17 2011,,
7.21.3,Dec 15 2010,,
7.21.2,Oct 13 2010,,
7.21.1,Aug 11 2010,,
7.21.0,Jun 16 2010,113fa71b8c81c27182cf06bd2819fad6a22b86ee,2010-07-18
7.20.1,Apr 14 2010,,
7.20.0,Feb 9 2010,,
7.19.7,Nov 4 2009,9761d31dc9a72e74e1caef07e2cb4230f1e7fccb,2010-01-20
7.19.6,Aug 12 2009,,
7.19.5,May 18 2009,,
7.19.4,Mar 3 2009,d574d882ccade3b159b16e7ea2b8aeffd9d13bcd,2009-03-11
7.19.3,Jan 19 2009,581af921ea3b99fd7e597707d7489df2f7d9790c,2009-01-21
7.19.2,Nov 13 2008,,
7.19.1,Nov 5 2008,,
7.19.0,Sep 1 2008,,
7.18.2,Jun 4 2008,,
7.18.1,Mar 30 2008,6aae26a1d8e6b5113aca17a36676737ddd57da8d,2008-04-23
7.18.0,Jan 28 2008,,
7.17.1,Oct 29 2007,895f7c9ab4f276b76344d882d4aadcc2460e1687,2007-12-19
7.17.0,Sep 13 2007,,
7.16.4,Jul 10 2007,,
7.16.3,Jun 25 2007,,
7.16.2,Apr 11 2007,c44f77bbdf6f898ed7f4f393fe37dd5d674d4bd3,2007-05-24
7.16.1,Jan 29 2007,,
7.16.0,Oct 30 2006,,
7.15.5,Aug 7 2006,193edaab22a521721ad761097d1071ba4a0ae26d,2006-08-25
7.15.4,Jun 12 2006,809f592e0ad228bae48ac05bfbc760baf9fcdd70,2006-06-17
7.15.3,Mar 20 2006,,
7.15.2,Feb 27 2006,,
7.15.1,Dec 7 2005,d2b1dc4a525def946e1c58cd63d5d459eba822e4,2005-12-25
7.15.0,Oct 13 2005,94fe7734fa6d9b385ee13da1e9982a4a454c3e7a,2005-12-06
7.14.1,Sep 1 2005,,
